A_0,A_1,A_2,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count
0.0,0.0,1.0,#,0.0,#,#,#,#,#,1.0,0.0,1.0,1.0,6,45.1090956585488,4994,2241,0.45454545454545453,0.003980255772406335,82,82
#,#,0.0,#,#,0.0,#,#,#,#,#,0.0,0.09231281823870426,0.6209439528023599,1,44.403574762634896,4975,2269,0.18181818181818182,0.0006140426953024205,421,678
1.0,0.0,0.0,#,#,#,#,1.0,#,#,#,1.0,1.0,1.0,8,55.441187821235324,4980,2293,0.36363636363636365,0.006522560609502136,178,178
0.0,0.0,1.0,#,1.0,#,0.0,#,#,#,#,1.0,1.0,1.0,1,51.14505166270924,4968,2304,0.45454545454545453,0.0007521409453333434,76,76
1.0,1.0,#,#,#,#,#,#,0.0,1.0,1.0,1.0,1.0,1.0,4,62.92628558547547,4867,2305,0.45454545454545453,0.0037015847584789268,81,81
#,1.0,0.0,#,#,1.0,#,#,#,1.0,#,1.0,1.0,1.0,7,61.44409035289122,4986,2310,0.36363636363636365,0.006325192817393671,176,176
0.0,0.0,#,0.0,0.0,#,1.0,#,#,1.0,#,0.0,1.0,1.0,4,54.17758392998972,4974,2314,0.5454545454545454,0.003186949890027384,45,45
#,#,0.0,#,0.0,#,1.0,1.0,0.0,1.0,#,1.0,0.279581552734375,0.775,1,61.849933924338856,4986,2324,0.5454545454545454,0.0009095673238819995,31,40
0.0,1.0,#,#,#,0.0,0.0,#,1.0,1.0,#,0.0,1.0,1.0,1,48.65025909776333,4826,2329,0.5454545454545454,0.0007154524373114196,40,40
1.0,1.0,0.0,0.0,0.0,#,#,#,#,1.0,#,1.0,1.0,1.0,1,53.35660866910918,4892,2330,0.5454545454545454,0.0007846641811768032,39,39
1.0,#,0.0,#,#,#,#,1.0,0.0,1.0,#,1.0,1.0,1.0,1,60.524319155731945,4981,2342,0.45454545454545453,0.000890072786037299,83,83
1.0,#,0.0,#,#,#,#,0.0,#,0.0,1.0,0.0,1.0,1.0,2,50.66076278539346,4933,2343,0.45454545454545453,0.0014900379518238485,78,78
#,0.0,0.0,1.0,#,#,#,#,1.0,#,#,1.0,0.24199435836144062,0.7529411764705882,2,45.7076322293931,4997,2351,0.36363636363636365,0.0013443561242516271,128,170
#,0.0,0.0,1.0,0.0,#,#,#,1.0,#,#,1.0,0.2373046875,0.75,1,40.4743287903528,4916,2356,0.45454545454545453,0.0005952169159759516,63,84
0.0,1.0,#,#,#,1.0,1.0,#,#,#,#,1.0,1.0,1.0,10,62.43659224295009,4986,2369,0.36363636363636365,0.009308294038209123,160,160
0.0,#,0.0,0.0,0.0,#,#,#,#,1.0,0.0,0.0,0.21905946222926423,0.7380952380952381,1,54.817835371693015,4729,2374,0.5454545454545454,0.0008061530329366121,31,42
0.0,0.0,1.0,#,0.0,#,#,#,#,#,0.0,0.0,1.0,1.0,8,49.729271612702874,4974,2384,0.45454545454545453,0.005850563469277077,84,84
1.0,1.0,1.0,0.0,#,#,0.0,#,#,#,0.0,0.0,1.0,1.0,1,56.00879145990026,4958,2393,0.5454545454545454,0.0008236672754471504,42,42
0.0,0.0,#,0.0,0.0,#,1.0,1.0,1.0,1.0,#,0.0,1.0,1.0,1,48.81152,4485,2407,0.7272727272727273,0.0007178239458642603,9,9
0.0,1.0,1.0,#,#,#,1.0,1.0,#,#,0.0,1.0,1.0,1.0,2,51.81455262556227,4875,2427,0.5454545454545454,0.0015239733005189134,41,41
1.0,#,0.0,0.0,1.0,#,#,#,#,0.0,#,0.0,0.19075113096875485,0.717948717948718,1,47.14124863168841,4955,2436,0.45454545454545453,0.0006932608758294505,56,78
